form_id,lexeme,cell,source_form,orth_form,analysed_orth_form,phon_form,analysed_phon_form,variants_tag,overabundance_tag,analysis_tag,source,page,language_id
komkhoirentak210,hmu,2.pl.1.pl.excl.nfut.neg,ani-hmu-mak-chui,ani-Σ-mak-chui,a+ni+Σ+mak+chui,a n i Σ m a k tʃ ui,a + n i + Σ + m a k + tʃ ui,dialect_var,,,Kanshouwa2026KhoirentakKom,nopage,komkhoirentak
komkhoirentak211,hmu,2.sg.3.sg.nfut.neg,hmu-mak-che,Σ-mak-che,Σ+mak+che,Σ m a k tʃ e,Σ + m a k + tʃ e,unspecified,,,Kanshouwa2026KhoirentakKom,nopage,komkhoirentak
komkhoirentak212,hmu,2.sg.3.pl.nfut.neg,hmu-mak-hei-che,Σ-mak-hei-che,Σ+mak+hei+che,Σ m a k h ei tʃ e,Σ + m a k + h ei + tʃ e,unspecified,,,Kanshouwa2026KhoirentakKom,nopage,komkhoirentak
komkhoirentak213,hmu,2.pl.3.sg.nfut.neg,hmu-mak-chui,Σ-mak-chui,Σ+mak+chui,Σ m a k tʃ ui,Σ + m a k + tʃ ui,unspecified,,,Kanshouwa2026KhoirentakKom,nopage,komkhoirentak
komkhoirentak214,hmu,2.pl.3.pl.nfut.neg,hmu-mak-hei-chui,Σ-mak-hei-chui,Σ+mak+hei+chui,Σ m a k h ei tʃ ui,Σ + m a k + h ei + tʃ ui,unspecified,,,Kanshouwa2026KhoirentakKom,nopage,komkhoirentak
komkhoirentak215,se,3.sg.nfut.neg,se-mak,Σ-mak,Σ+mak,Σ m a k,Σ + m a k,unspecified,,,Kanshouwa2026KhoirentakKom,nopage,komkhoirentak
komkhoirentak216,se,3.pl.nfut.neg,se-mak-hei,Σ-mak-hei,Σ+mak+hei,Σ m a k h ei,Σ + m a k + h ei,unspecified,,,Kanshouwa2026KhoirentakKom,nopage,komkhoirentak
komkhoirentak217,hmu,3.sg.1.sg.nfut.neg,a-hmu-mak,a-Σ-mak,a+Σ+mak,a Σ m a k,a + Σ + m a k,unspecified,,,Kanshouwa2026KhoirentakKom,nopage,komkhoirentak
komkhoirentak218,hmu,3.sg.1.sg.nfut.neg,ei-hmu-mak,ei-Σ-mak,ei+Σ+mak,ei Σ m a k,ei + Σ + m a k,dialect_var,,,Kanshouwa2026KhoirentakKom,nopage,komkhoirentak
komkhoirentak219,hmu,3.sg.1.sg.nfut.neg,ani-hmu-mak,ani-Σ-mak,a+ni+Σ+mak,a n i Σ m a k,a + n i + Σ + m a k,dialect_var,,,Kanshouwa2026KhoirentakKom,nopage,komkhoirentak
komkhoirentak220,hmu,3.sg.1.pl.excl.nfut.neg,a-hmu-mak,a-Σ-mak,a+Σ+mak,a Σ m a k,a + Σ + m a k,dialect_var,,,Kanshouwa2026KhoirentakKom,nopage,komkhoirentak
